Event,Name,Gender,Occupation,Keyword,Text
"{'text': 'hired', 'lemma': 'hire', 'start_token': 14, 'end_token': 14}",Dolester Miles,F,chefs,hire,"In 1982, Frank Stitt opened Highlands Bar and Grill in Birmingham. He hired Miles and her older sister Diane as cooks. Miles gradually worked her way up to executive pastry chef at the restaurant. She later moved on to making desserts for all of Stitt's restaurants, including Bottega, Bottega Cafe, and Chez Fonfon.[6]
"
"{'text': 'hired', 'lemma': 'hire', 'start_token': 11, 'end_token': 11}",Nancy Silverton,F,chefs,hire,"After Silverton returned to Los Angeles in 1982, she was hired by Wolfgang Puck as Spago's opening pastry chef, and in 1986, she wrote her first cookbook, Desserts.[5][6]
"
"{'text': 'hired', 'lemma': 'hire', 'start_token': 19, 'end_token': 19}",Beau MacMillan,M,chefs,hire,"MacMillan moved to Los Angeles to become sous chef at Hotel Bel-Air.  He was later hired at Shutters on the Beach in Santa Monica. In 1998, he was hired as the Executive Chef at the Sanctuary on Camelback Mountain (formerly known as The Ranch on Camelback). In March 2001, MacMillan and former Executive Chef Charles Wiley opened the restaurant eleme"
"{'text': 'hired', 'lemma': 'hire', 'start_token': 12, 'end_token': 12}",Anthony Amoroso,M,chefs,hire,"In 2003, Amoroso relocated to Las Vegas, Nevada after being hired by Chef Michael White to be the opening Executive Chef at Fiamma Trattoria and Bar at the MGM Grand Las Vegas.[2] In 2005, Amoroso moved  to the Bellagio where he worked as the Executive Chef at Michael Mina's namesake restaurant, and was awarded two Michelin Stars.[4]
"
"{'text': 'met', 'lemma': 'meet', 'start_token': 12, 'end_token': 12}",Debra Ponzek,F,chefs,meet,"Ponzek married fellow chef Bobby Flay in May 1991. They had met the previous June, and had decided to get married within a matter of weeks.[2] They were both nominated for the 1992 James Beard Foundation Award for Rising Star Chef, and Flay attempted to withdraw from the category when he learned he was nominated alongside his wife. The Foundation r"
"{'text': 'met', 'lemma': 'meet', 'start_token': 5, 'end_token': 5}",Ashleigh Shanti,F,chefs,meet,"In October 2018, Shanti met John Fleer, owner-chef of Rhubarb.[3] Fleer and Shanti had similar culinary interests: celebrating African and African American culinary traditions. Fleer hired Shanti serve as chef de cuisine and to help create the menu at Benne on Eagle, the restaurant at The Foundry Hotel in Asheville.[2] The restaurant opened in 2018"
"{'text': 'met', 'lemma': 'meet', 'start_token': 4, 'end_token': 4}",Ettore Boiardi,M,chefs,meet,"In 1927, Boiardi met Maurice and Eva Weiner who were patrons of his restaurant and owners of a local self-service grocery store chain.  The Weiners helped the Boiardi brothers develop a process for canning the food at scale.  They also procured distribution across the United States through their grocery's wholesale partners. Boiardi's product was s"
"{'text': 'sold', 'lemma': 'sell', 'start_token': 44, 'end_token': 44}",Ida Bailey Allen,F,chefs,sell,"In 1924 Allen was food editor of the Sunday New York American. By 1928 she was hosting a regular daytime radio show which expanded to two hours the following year. She not only performed on the show, she also produced and sold her own advertising; she was a pioneer in selling spot advertising rather than having a single company sponsor a show. The "
"{'text': 'sold', 'lemma': 'sell', 'start_token': 59, 'end_token': 59}",Ida Bailey Allen,F,chefs,sell,"She once lived atop 400 Madison Avenue, New York City where visitors were able to see the ""latest developments in homemaking"", and could watch her staff develop and test new recipes for cooking.[9] A 1932 promotional book she wrote for Coca-Cola, When You Entertain, was so popular 375,000 copies were sold in under six months.[11]
"
"{'text': 'selling', 'lemma': 'sell', 'start_token': 5, 'end_token': 5}",Iliana Regan,F,chefs,sell,"In 2008, Regan began selling microgreens and vegetables at farmer's markets, soon expanding her offerings to include Pierogi.[1] In 2010, she started a weekly supper club hosting 10-12 diners in her Chicago apartment. Through the supper club, Regan met several investors interested in supporting her opening her own restaurant.[4][5]
"
"{'text': 'sold', 'lemma': 'sell', 'start_token': 73, 'end_token': 73}",Peter Grunauer,M,chefs,sell,"In 1979, Peter was joined by Karl Zartler, who was his partner in the creation and operation of Vienna 79, a sixty-five seat fine dining restaurant located on 79th Street on New York’s Upper East Side.  Vienna 79 was awarded four stars by food critic Mimi Sheraton, writing for The New York Times.  Peter and Karl operated Vienna 79 until it was sold"
"{'text': 'selling', 'lemma': 'sell', 'start_token': 6, 'end_token': 6}",Ed Mitchell (pitmaster),M,chefs,sell,"In the 1990s, he started selling his barbecue at his family's grocery store in Wilson.[7] In 2004, the business closed after Mitchell was accused of failing to pay state taxes for the store.[7]
"
"{'text': 'graduated', 'lemma': 'graduate', 'start_token': 34, 'end_token': 34}",Suzanne Goin,F,chefs,graduate,"When she was a high school senior at Marlborough School in Los Angeles she interned at Ma Maison just after the departure of Wolfgang Puck and after graduation enrolled in Brown University where she graduated with honors. Goin then worked at a series of highly successful restaurants including Alice Water's Chez Panisse, Todd English's Olives.[6] In"
"{'text': 'graduated', 'lemma': 'graduate', 'start_token': 1, 'end_token': 1}",Emeril Lagasse,M,chefs,graduate,"Lagasse graduated from the culinary school JWU in 1978 and became Executive Chef at the Dunfey's Hyannis Resort in 1979.[7] He was nominated as Chef of the Year in 1983.[7]
"
"{'text': 'graduating', 'lemma': 'graduate', 'start_token': 1, 'end_token': 1}",Nicholas Lodge,M,chefs,graduate,"After graduating from the National Bakery School, Lodge was offered the position of principal wedding cake designer at Woodnutts, one of England's top sugar arts schools.[3] While at Woodnutts, he created cakes for Harrods, the Savoy, and The Ritz.[7] Lodge next held a teaching position at Mary Ford's Cake Artistry Centre in Bournemouth. At this ti"
"{'text': 'debuted', 'lemma': 'debut', 'start_token': 10, 'end_token': 10}",Anne Burrell,F,chefs,debut,"Burrell's Food Network series Secrets of a Restaurant Chef debuted June 29, 2008. In 2009, she appeared on another Food Network show, The Best Thing I Ever Ate, in which chefs recount their favorite dishes.
"
"{'text': 'debut', 'lemma': 'debut', 'start_token': 16, 'end_token': 16}",Dave Arnold,M,chefs,debut,"In 2013, Arnold's Museum of Food and Drink (MOFAD) made its public debut with a successful Kickstarter campaign that raised over $100,000 for MOFAD's first exhibition:  BOOM! The Puffing Gun and the Rise of Breakfast Cereal. The exhibit, which features a functioning, 3,200-pound puffing gun that was once widely used to produce breakfast cereal, deb"
"{'text': 'debuted', 'lemma': 'debut', 'start_token': 5, 'end_token': 5}",Bobby Deen,M,chefs,debut,"In January 2012, he debuted his own cooking show, Not My Mama's Meals, on the Cooking Channel, in which he tweaks his mother's recipes to recreate them in a healthier manner.[5]
"
"{'text': 'traveling', 'lemma': 'travel', 'start_token': 1, 'end_token': 1}",Ina Garten,F,chefs,travel,"After traveling to view it, she made a hasty decision to purchase the store and moved to New York to assume ownership. The store had been named by its original owner in tribute to the 1954 film starring Ava Gardner. Garten kept the name when she took over; it meshed well with her idea of an ""elegant but earthy"" lifestyle.[12] Ironically, as of 2006"
"{'text': 'traveled', 'lemma': 'travel', 'start_token': 7, 'end_token': 7}",Lon Symensma,M,chefs,travel,"Upon the completion of his fellowship Symensma traveled to the South of France where he spent a year dividing his time between two separate Michelin two-star restaurants, Roger Vergé’s Moulin Mougin and Jacques Chibois’ La Bastide Saint Antoine. He departed France to apprentice at restaurants throughout Italy and Spain, including San Sebastián’s fa"
"{'text': 'travel', 'lemma': 'travel', 'start_token': 39, 'end_token': 39}",Lon Symensma,M,chefs,travel,"In 2001, Symensma moved to New York City, where he worked at Jean-Georges for two years including a six month stint underneath pastry chef Johnny Iuzzini. In 2003, he dedicated one year to travel throughout China and Southeast Asia under the guidance of Jean-Georges and Gray Kunz. While in Asia, Symensma participated in the opening of Jean-Georges "
"{'text': 'traveled', 'lemma': 'travel', 'start_token': 3, 'end_token': 3}",Jeffrey Saad,M,chefs,travel,"In 1993 Saad traveled to Mexico looking to expand his knowledge of the Mexican cuisine. This led him to open a Mexican-influenced restaurant called Sweet Heat in San Francisco. After that, he opened two more restaurants and started his own signature line of bottled chutneys. Among his culinary and business ventures, he became a partner of Californi"
"{'text': 'eliminated', 'lemma': 'eliminate', 'start_token': 25, 'end_token': 25}",Anne Burrell,F,chefs,eliminate,"Also in 2011, Burrell became the fourth runner up in the culinary competition, The Next Iron Chef on the Food Network, being eliminated in week six of the competition.
"
"{'text': 'eliminated', 'lemma': 'eliminate', 'start_token': 47, 'end_token': 47}",Kristen Kish,F,chefs,eliminate,"Kish competed in Bravo's Top Chef in 2012.  She made it into the main competition by surviving a soup challenge judged by Emeril Lagasse. She won four elimination challenges, creating dishes as varied as French cuisine and onion rings, before being eliminated during ""Restaurant Wars"" (episode 11). She was able to cook her way back into the main com"
"{'text': 'eliminated', 'lemma': 'eliminate', 'start_token': 3, 'end_token': 3}",Gavin Kaysen,M,chefs,eliminate,"Chef Kaysen was eliminated during the third episode of The Next Iron Chef due to his food being under-seasoned and under-salted, according to the judges. After the elimination, he explained to judge Michael Ruhlman that the problem had been that the food had been stored improperly by the tech crew of the show, and had become submerged in an ice wat"
"{'text': 'signed', 'lemma': 'sign', 'start_token': 7, 'end_token': 7}",Julia Child,F,chefs,sign,"The three would-be authors initially signed a contract with publisher Houghton Mifflin, which later rejected the manuscript for seeming too much like an encyclopedia. Finally, when it was first published in 1961 by Alfred A. Knopf, the 726-page Mastering the Art of French Cooking[20] was a best-seller and received critical acclaim that derived in p"
"{'text': 'described', 'lemma': 'describe', 'start_token': 49, 'end_token': 49}",Claire Saffitz,F,chefs,describe,"In July 2017, Gourmet Makes debuted, in which Saffitz attempts to recreate or elevate popular snack foods such as Doritos, Twinkies, and Gushers.[12][1] Gourmet Makes consistently trends on YouTube and has developed a cult following on social media.[13] Saffitz's work has been described as taking ""junk food staples and...elevating them from their h"
"{'text': 'described', 'lemma': 'describe', 'start_token': 35, 'end_token': 35}",Sara Moulton,F,chefs,describe,"Moulton's fourth cookbook, Home Cooking 101:  How to Make Everything Taste Better, was published Oxmoor House in March 2016.[21]  Diana K. Rice, in The Huffington Post, described it as ""extremely useful to the home cook.   [Looks] like a textbook, albeit...with fabulous food photos and enticing recipes.""[22]
"
